OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
4B,,,,,,,,"MOV c,e"
4C,,,,,,,,"MOV c,h"
4D,,,,,,,,"MOV c,l"
4E,,,,,,,,"MOV c,m"
4F,,,,,,,,"MOV c,a"
50,,,,,,,,"MOV d,b"
51,,,,,,,,"MOV d,c"
52,,,,,,,,"MOV d,d"
53,,,,,,,,"MOV d,e"
54,,,,,,,,"MOV d,h"
55,,,,,,,,"MOV d,l"
56,,,,,,,,"MOV d,m"
57,,,,,,,,"MOV d,a"
58,,,,,,,,"MOV e,b"
59,,,,,,,,"MOV e,c"
5A,,,,,,,,"MOV e,d"
5B,,,,,,,,"MOV e,e"
5C,,,,,,,,"MOV e,h"
5D,,,,,,,,"MOV e,l"
5E,,,,,,,,"MOV e,m"
5F,,,,,,,,"MOV e,a"
60,,,,,,,,"MOV h,b"
61,,,,,,,,"MOV h,c"
62,,,,,,,,"MOV h,d"
63,,,,,,,,"MOV h,e"
64,,,,,,,,"MOV h,h"
65,,,,,,,,"MOV h,l"
66,,,,,,,,"MOV h,m"
67,,,,,,,,"MOV h,a"
68,,,,,,,,"MOV l,b"
69,,,,,,,,"MOV l,c"
6A,,,,,,,,"MOV l,d"
6B,,,,,,,,"MOV l,e"
6C,,,,,,,,"MOV l,h"
6D,,,,,,,,"MOV l,l"
6E,,,,,,,,"MOV l,m"
6F,,,,,,,,"MOV l,a"
70,,,,,,,,"MOV m,b"
71,,,,,,,,"MOV m,c"
72,,,,,,,,"MOV m,d"
73,,,,,,,,"MOV m,e"
74,,,,,,,,"MOV m,h"
75,,,,,,,,"MOV m,l"
76,,,,,,,,"HLT"
77,,,,,,,,"MOV m,a"
78,,,,,,,,"MOV a,b"
79,,,,,,,,"MOV a,c"
7A,,,,,,,,"MOV a,d"
7B,,,,,,,,"MOV a,e"
7C,,,,,,,,"MOV a,h"
7D,,,,,,,,"MOV a,l"
7E,,,,,,,,"MOV a,m"
7F,,,,,,,,"MOV a,a"
80,,,,,,,,"ADD b"
81,,,,,,,,"ADD c"
82,,,,,,,,"ADD d"
83,,,,,,,,"ADD e"
84,,,,,,,,"ADD h"
85,,,,,,,,"ADD l"
86,,,,,,,,"ADD m"
87,,,,,,,,"ADD a"
88,,,,,,,,"ADC b"
89,,,,,,,,"ADC c"
8A,,,,,,,,"ADC d"
8B,,,,,,,,"ADC e"
8C,,,,,,,,"ADC h"
8D,,,,,,,,"ADC l"
8E,,,,,,,,"ADC m"
8F,,,,,,,,"ADC a"
90,,,,,,,,"SUB b"
91,,,,,,,,"SUB c"
92,,,,,,,,"SUB d"
93,,,,,,,,"SUB e"
94,,,,,,,,"SUB h"
95,,,,,,,,"SUB l"
96,,,,,,,,"SUB m"
97,,,,,,,,"SUB a"
98,,,,,,,,"SBB b"
99,,,,,,,,"SBB c"
9A,,,,,,,,"SBB d"
9B,,,,,,,,"SBB e"
9C,,,,,,,,"SBB h"
9D,,,,,,,,"SBB l"
9E,,,,,,,,"SBB m"
9F,,,,,,,,"SBB a"
A0,,,,,,,,"ANA b"
A1,,,,,,,,"ANA c"
A2,,,,,,,,"ANA d"
A3,,,,,,,,"ANA e"
A4,,,,,,,,"ANA h"
A5,,,,,,,,"ANA l"
A6,,,,,,,,"ANA m"
A7,,,,,,,,"ANA a"
A8,,,,,,,,"XRA b"
A9,,,,,,,,"XRA c"
AA,,,,,,,,"XRA d"
AB,,,,,,,,"XRA e"
AC,,,,,,,,"XRA h"
AD,,,,,,,,"XRA l"
AE,,,,,,,,"XRA m"
AF,,,,,,,,"XRA a"
B0,,,,,,,,"ORA b"
B1,,,,,,,,"ORA c"
B2,,,,,,,,"ORA d"
B3,,,,,,,,"ORA e"
B4,,,,,,,,"ORA h"
B5,,,,,,,,"ORA l"
B6,,,,,,,,"ORA m"
B7,,,,,,,,"ORA a"
B8,,,,,,,,"CMP b"
B9,,,,,,,,"CMP c"
BA,,,,,,,,"CMP d"
BB,,,,,,,,"CMP e"
BC,,,,,,,,"CMP h"
BD,,,,,,,,"CMP l"
BD,,,,,,,,"CMP m"
BF,,,,,,,,"CMP a"
C0,,,,,,,,"RNZ"
C1,,,,,,,,"POP b"
C2,0000,FFFF,H,U,,,,"JNZ ?"
C3,0000,FFFF,H,U,,,,"JMP ?"
C4,0000,FFFF,H,U,,,,"CNZ ?"
C5,,,,,,,,"PUSH b"
C6,00,FF,H,U,,,,"ADI ?"
C7,,,,,,,,"RST 0 (CALL $00) CALL n*8"
C8,,,,,,,,"RZ"
C9,,,,,,,,"RET"
CA,0000,FFFF,H,U,,,,"JZ ?"
CB,,,,,,,,"RSTV"
CC,0000,FFFF,H,U,,,,"CZ ?"
CD,0000,FFFF,H,U,,,,"CALL ?"
CE,00,FF,H,U,,,,"ACI ?"
CF,,,,,,,,"RST 1 (CALL $08) CALL n*8"
D0,,,,,,,,"RNC"
D1,,,,,,,,"POP d"
D2,0000,FFFF,H,U,,,,"JNC ?"
D3,00,FF,H,U,,,,"OUT ?"
D4,0000,FFFF,H,U,,,,"CNC ?"
D5,,,,,,,,"PUSH d"
D6,00,FF,H,U,,,,"SUI ?"
D7,,,,,,,,"RST 2 (CALL $10) CALL n*8"
D8,,,,,,,,"RC"
D9,,,,,,,,"SHLX"
DA,0000,FFFF,H,U,,,,"JC ?"
DB,00,FF,H,U,,,,"IN ?"
DC,0000,FFFF,H,U,,,,"CC ?"
DD,0000,FFFF,H,U,,,,"JNX5 ?"
DE,00,FF,H,U,,,,"SBI ?"
DF,,,,,,,,"RST 3 (CALL $18) CALL n*8"
E0,,,,,,,,"RPO"
E1,,,,,,,,"POP h"
