OpcodeBytes,OperandBytes,OperandArgumentMask,ArgumentHexDec,ArgumentSignedUnsigned,DasmString
00,,,,,"BRK"
01,00,FF,H,U,"ORA (?,X)"
05,00,FF,H,U,"ORA ?"
06,00,FF,H,U,"ASL ?"
08,,,,,"PHP"
09,00,FF,H,U,"ORA #?"
0A,,,,,"ASL A"
0D,0000,FFFF,H,U,"ORA ?"
0E,0000,FFFF,H,U,"ASL ?"
10,00,FF,H,S,"BPL ?"
11,00,FF,H,U,"ORA (?),Y"
15,00,FF,H,U,"ORA ?,X"
16,00,FF,H,U,"ASL ?,X"
18,,,,,"CLC"
19,0000,FFFF,H,U,"ORA ?,Y"
1D,0000,FFFF,H,U,"ORA ?,X"
1E,0000,FFFF,H,U,"ASL ?,X"
20,0000,FFFF,H,U,"JSR ?"
21,00,FF,H,U,"AND (?,X)"
24,00,FF,H,U,"BIT ?"
25,00,FF,H,U,"AND ?"
26,00,FF,H,U,"ROL ?"
28,,,,,"PLP"
29,00,FF,H,U,"AND #?"
2A,,,,,"ROL A"
2C,0000,FFFF,H,U,"BIT ?"
2D,0000,FFFF,H,U,"AND ?"
2E,0000,FFFF,H,U,"ROL ?"
30,00,FF,H,S,"BMI ?"
31,00,FF,H,U,"AND (?),Y"
35,00,FF,H,U,"AND ?,X"
36,00,FF,H,U,"ROL ?,X"
38,,,,,"SEC"
39,0000,FFFF,H,U,"AND ?,Y"
3D,0000,FFFF,H,U,"AND ?,X"
3E,0000,FFFF,H,U,"ROL ?,X"
40,,,,,"RTI"
41,00,FF,H,U,"EOR (?,X)"
45,00,FF,H,U,"EOR ?"
46,00,FF,H,U,"LSR ?"
48,,,,,"PHA"
49,00,FF,H,U,"EOR #?"
4A,,,,,"LSR A"
4C,0000,FFFF,H,U,"JMP ?"
4D,0000,FFFF,H,U,"EOR ?"
4E,0000,FFFF,H,U,"LSR ?"
50,00,FF,H,S,"BVC ?"
51,00,FF,H,U,"EOR (?),Y"
55,00,FF,H,U,"EOR ?,X"
56,00,FF,H,U,"LSR ?,X"
58,,,,,"CLI"
59,0000,FFFF,H,U,"EOR ?,Y"
5D,0000,FFFF,H,U,"EOR ?,X"
5E,0000,FFFF,H,U,"LSR ?,X"
60,,,,,"RTS"
61,00,FF,H,U,"ADC (?,X)"
65,00,FF,H,U,"ADC ?"
66,00,FF,H,U,"ROR ?"
68,,,,,"PLA"
69,00,FF,H,U,"ADC #?"
6A,,,,,"ROR A"
6C,0000,FFFF,H,U,"JMP (?)"
6D,0000,FFFF,H,U,"ADC ?"
6E,0000,FFFF,H,U,"ROR ?"
70,00,FF,H,S,"BVS ?"
71,00,FF,H,U,"ADC (?),Y"
75,00,FF,H,U,"ADC ?,X"
76,00,FF,H,U,"ROR ?,X"
78,,,,,"SEI"
79,0000,FFFF,H,U,"ADC ?,Y"
7D,0000,FFFF,H,U,"ADC ?,X"
7E,0000,FFFF,H,U,"ROR ?,X"
81,00,FF,H,U,"STA (?,X)"
84,00,FF,H,U,"STY ?"
85,00,FF,H,U,"STA ?"
86,00,FF,H,U,"STX ?"
88,,,,,"DEY"
8A,,,,,"TXA"
8C,0000,FFFF,H,U,"STY ?"
8D,0000,FFFF,H,U,"STA ?"
8E,0000,FFFF,H,U,"STX ?"
90,00,FF,H,S,"BCC ?"
91,00,FF,H,U,"STA (?),Y"
94,00,FF,H,U,"STY ?,X"
95,00,FF,H,U,"STA ?,X"
96,00,FF,H,U,"STX ?,Y"
98,,,,,"TYA"
99,0000,FFFF,H,U,"STA ?,Y"
9A,,,,,"TXS"
9D,0000,FFFF,H,U,"STA ?,X"
A0,00,FF,H,U,"LDY #?"
A1,00,FF,H,U,"LDA (?,X)"
A2,00,FF,H,U,"LDX #?"
A4,00,FF,H,U,"LDY ?"
A5,00,FF,H,U,"LDA ?"
A6,00,FF,H,U,"LDX ?"
A8,,,,,"TAY"
A9,00,FF,H,U,"LDA #?"
AA,,,,,"TAX"
AC,0000,FFFF,H,U,"LDY ?"
AD,0000,FFFF,H,U,"LDA ?"
AE,0000,FFFF,H,U,"LDX ?"
B0,00,FF,H,S,"BCS ?"
B1,00,FF,H,U,"LDA (?),Y"
B4,00,FF,H,U,"LDY ?,X"
B5,00,FF,H,U,"LDA ?,X"
B6,00,FF,H,U,"LDX ?,Y"
B8,,,,,"CLV"
B9,0000,FFFF,H,U,"LDA ?,Y"
BA,,,,,"TSX"
BC,0000,FFFF,H,U,"LDY ?,X"
